kritikerin,autorin_id,teilnahmejahr,shortlist_kritiker,eingeladen
Stefan Gmünder,1,2019,False,False
Stefan Gmünder,2,2019,False,False
Stefan Gmünder,3,2019,False,False
Stefan Gmünder,4,2019,True,False
Stefan Gmünder,5,2019,False,False
Stefan Gmünder,6,2019,True,False
Stefan Gmünder,7,2019,True,False
Stefan Gmünder,8,2019,False,True
Stefan Gmünder,9,2019,False,False
Stefan Gmünder,10,2019,True,False
Stefan Gmünder,11,2019,False,False
Stefan Gmünder,12,2019,True,False
Stefan Gmünder,13,2019,False,True
Stefan Gmünder,14,2019,False,False
Nora Gomringer,1,2019,False,False
Nora Gomringer,2,2019,True,False
Nora Gomringer,3,2019,False,True
Nora Gomringer,4,2019,True,False
Nora Gomringer,5,2019,False,False
Nora Gomringer,6,2019,False,False
Nora Gomringer,7,2019,False,False
Nora Gomringer,8,2019,True,False
Nora Gomringer,9,2019,False,False
Nora Gomringer,10,2019,False,False
Nora Gomringer,11,2019,False,True
Nora Gomringer,12,2019,True,False
Nora Gomringer,13,2019,False,False
Nora Gomringer,14,2019,True,False
Klaus Kastberger,1,2019,True,False
Klaus Kastberger,2,2019,False,True
Klaus Kastberger,3,2019,False,False
Klaus Kastberger,4,2019,False,True
Klaus Kastberger,5,2019,False,False
Klaus Kastberger,6,2019,False,False
Klaus Kastberger,7,2019,True,False
Klaus Kastberger,8,2019,True,False
Klaus Kastberger,9,2019,False,False
Klaus Kastberger,10,2019,False,False
Klaus Kastberger,11,2019,True,False
Klaus Kastberger,12,2019,True,False
Klaus Kastberger,13,2019,False,False
Klaus Kastberger,14,2019,False,False
Hildegard E. Keller,1,2019,True,False
Hildegard E. Keller,2,2019,False,False
Hildegard E. Keller,3,2019,False,False
Hildegard E. Keller,4,2019,True,False
Hildegard E. Keller,5,2019,False,True
Hildegard E. Keller,6,2019,False,True
Hildegard E. Keller,7,2019,False,False
Hildegard E. Keller,8,2019,True,False
Hildegard E. Keller,9,2019,False,False
Hildegard E. Keller,10,2019,True,False
Hildegard E. Keller,11,2019,False,False
Hildegard E. Keller,12,2019,True,False
Hildegard E. Keller,13,2019,False,False
Hildegard E. Keller,14,2019,False,False
Michael Wiederstein,1,2019,True,False
Michael Wiederstein,2,2019,False,False
Michael Wiederstein,3,2019,False,False
Michael Wiederstein,4,2019,True,False
Michael Wiederstein,5,2019,False,False
Michael Wiederstein,6,2019,False,False
Michael Wiederstein,7,2019,False,False
Michael Wiederstein,8,2019,True,False
Michael Wiederstein,9,2019,True,False
Michael Wiederstein,10,2019,False,True
Michael Wiederstein,11,2019,False,False
Michael Wiederstein,12,2019,True,False
Michael Wiederstein,13,2019,False,False
Michael Wiederstein,14,2019,False,True
Insa Wilke,1,2019,False,True
Insa Wilke,2,2019,True,False
Insa Wilke,3,2019,False,False
Insa Wilke,4,2019,True,False
Insa Wilke,5,2019,False,False
Insa Wilke,6,2019,False,False
Insa Wilke,7,2019,False,True
Insa Wilke,8,2019,True,False
Insa Wilke,9,2019,True,False
Insa Wilke,10,2019,False,False
Insa Wilke,11,2019,False,False
Insa Wilke,12,2019,True,False
Insa Wilke,13,2019,False,False
Insa Wilke,14,2019,False,False
Hubert Winkels,1,2019,False,False
Hubert Winkels,2,2019,True,False
Hubert Winkels,3,2019,False,False
Hubert Winkels,4,2019,True,False
Hubert Winkels,5,2019,False,False
Hubert Winkels,6,2019,True,False
Hubert Winkels,7,2019,True,False
Hubert Winkels,8,2019,True,False
Hubert Winkels,9,2019,False,True
Hubert Winkels,10,2019,False,False
Hubert Winkels,11,2019,False,False
Hubert Winkels,12,2019,False,True
Hubert Winkels,13,2019,False,False
Hubert Winkels,14,2019,False,False
